"id","total_count","plus_one","minus_one","laugh","hooray","confused","heart","rocket","eyes","comment_id"
"50174","0","0","0","0","0","0","0","0","0","412336197"
"50175","0","0","0","0","0","0","0","0","0","322240608"
"50176","0","0","0","0","0","0","0","0","0","400312518"
"50177","0","0","0","0","0","0","0","0","0","254815287"
"50178","0","0","0","0","0","0","0","0","0","321606365"
"50179","0","0","0","0","0","0","0","0","0","321656805"
"50180","1","1","0","0","0","0","0","0","0","321734554"
"50181","0","0","0","0","0","0","0","0","0","323929923"
"50182","0","0","0","0","0","0","0","0","0","324751883"
"50183","0","0","0","0","0","0","0","0","0","352003726"
"50184","0","0","0","0","0","0","0","0","0","447646083"
"50185","0","0","0","0","0","0","0","0","0","321606609"
"50186","0","0","0","0","0","0","0","0","0","321607921"
"50187","0","0","0","0","0","0","0","0","0","412288757"
"50188","0","0","0","0","0","0","0","0","0","321805702"
"50189","0","0","0","0","0","0","0","0","0","321834529"
"50190","0","0","0","0","0","0","0","0","0","322135448"
"50191","0","0","0","0","0","0","0","0","0","335987306"
"50192","0","0","0","0","0","0","0","0","0","357790293"
"50193","0","0","0","0","0","0","0","0","0","321404358"
"50194","0","0","0","0","0","0","0","0","0","412235699"
"50195","0","0","0","0","0","0","0","0","0","321572199"
"50196","0","0","0","0","0","0","0","0","0","321617182"
"50197","0","0","0","0","0","0","0","0","0","321709065"
"50198","0","0","0","0","0","0","0","0","0","321709400"
"50199","0","0","0","0","0","0","0","0","0","412312030"
"50200","0","0","0","0","0","0","0","0","0","321303386"
"50201","0","0","0","0","0","0","0","0","0","323974629"
"50202","0","0","0","0","0","0","0","0","0","356549351"
"50203","0","0","0","0","0","0","0","0","0","321267977"
"50204","0","0","0","0","0","0","0","0","0","321766235"
"50205","0","0","0","0","0","0","0","0","0","322242647"
"50206","0","0","0","0","0","0","0","0","0","412036725"
"50207","0","0","0","0","0","0","0","0","0","321215980"
"50208","0","0","0","0","0","0","0","0","0","321177141"
"50209","0","0","0","0","0","0","0","0","0","411993435"
"50210","0","0","0","0","0","0","0","0","0","324360756"
"50211","0","0","0","0","0","0","0","0","0","328058807"
"50212","0","0","0","0","0","0","0","0","0","328306860"
"50213","0","0","0","0","0","0","0","0","0","336606737"
"50214","0","0","0","0","0","0","0","0","0","369693653"
"50215","0","0","0","0","0","0","0","0","0","374655671"
"50216","0","0","0","0","0","0","0","0","0","374711136"
"50217","0","0","0","0","0","0","0","0","0","374729064"
"50218","0","0","0","0","0","0","0","0","0","598111658"
"50219","0","0","0","0","0","0","0","0","0","321177825"
"50220","0","0","0","0","0","0","0","0","0","321315113"
"50221","0","0","0","0","0","0","0","0","0","321316673"
"50222","0","0","0","0","0","0","0","0","0","321495590"
"50223","0","0","0","0","0","0","0","0","0","321610085"
"50224","0","0","0","0","0","0","0","0","0","321613632"
"50225","0","0","0","0","0","0","0","0","0","321616984"
"50226","0","0","0","0","0","0","0","0","0","321623999"
"50227","0","0","0","0","0","0","0","0","0","323333661"
"50228","0","0","0","0","0","0","0","0","0","414124149"
"50229","0","0","0","0","0","0","0","0","0","254791471"
"50230","0","0","0","0","0","0","0","0","0","411699966"
"50231","0","0","0","0","0","0","0","0","0","488548225"
"50232","0","0","0","0","0","0","0","0","0","320938163"
"50233","0","0","0","0","0","0","0","0","0","321267009"
"50234","0","0","0","0","0","0","0","0","0","411016486"
"50235","0","0","0","0","0","0","0","0","0","321021045"
"50236","0","0","0","0","0","0","0","0","0","320898019"
"50237","0","0","0","0","0","0","0","0","0","320900285"
"50238","0","0","0","0","0","0","0","0","0","254782385"
"50239","0","0","0","0","0","0","0","0","0","256988453"
"50240","0","0","0","0","0","0","0","0","0","257080583"
"50241","0","0","0","0","0","0","0","0","0","320910115"
"50242","0","0","0","0","0","0","0","0","0","320988436"
"50243","0","0","0","0","0","0","0","0","0","320989598"
"50244","0","0","0","0","0","0","0","0","0","320925658"
"50245","0","0","0","0","0","0","0","0","0","320930973"
"50246","1","1","0","0","0","0","0","0","0","320931121"
"50247","0","0","0","0","0","0","0","0","0","320652012"
"50248","0","0","0","0","0","0","0","0","0","320912409"
"50249","0","0","0","0","0","0","0","0","0","321012126"
"50250","0","0","0","0","0","0","0","0","0","254180913"
"50251","0","0","0","0","0","0","0","0","0","254279141"
"50252","0","0","0","0","0","0","0","0","0","254450135"
"50253","0","0","0","0","0","0","0","0","0","370441021"
"50254","0","0","0","0","0","0","0","0","0","320897116"
"50255","2","2","0","0","0","0","0","0","0","320897703"
"50256","0","0","0","0","0","0","0","0","0","331724928"
"50257","0","0","0","0","0","0","0","0","0","332467508"
"50258","0","0","0","0","0","0","0","0","0","332479242"
"50259","1","1","0","0","0","0","0","0","0","352275194"
"50260","0","0","0","0","0","0","0","0","0","448436817"
"50261","0","0","0","0","0","0","0","0","0","320528742"
"50262","0","0","0","0","0","0","0","0","0","411189719"
"50263","0","0","0","0","0","0","0","0","0","410993144"
"50264","0","0","0","0","0","0","0","0","0","320474358"
"50265","0","0","0","0","0","0","0","0","0","320476917"
"50266","0","0","0","0","0","0","0","0","0","320477357"
"50267","0","0","0","0","0","0","0","0","0","320477404"
"50268","0","0","0","0","0","0","0","0","0","320477440"
"50269","0","0","0","0","0","0","0","0","0","320477524"
"50270","0","0","0","0","0","0","0","0","0","320477560"
"50271","0","0","0","0","0","0","0","0","0","320593772"
"50272","0","0","0","0","0","0","0","0","0","320593935"
"50273","0","0","0","0","0","0","0","0","0","320675580"
"50274","0","0","0","0","0","0","0","0","0","320678495"
"50275","0","0","0","0","0","0","0","0","0","320690694"
"50276","0","0","0","0","0","0","0","0","0","320493309"
"50277","10","10","0","0","0","0","0","0","0","320522730"
"50278","2","0","2","0","0","0","0","0","0","320547390"
"50279","2","1","0","0","0","0","1","0","0","320582031"
"50280","2","2","0","0","0","0","0","0","0","320591328"
"50281","2","0","0","0","0","2","0","0","0","320846893"
"50282","0","0","0","0","0","0","0","0","0","321021802"
"50283","6","6","0","0","0","0","0","0","0","322111951"
"50284","8","7","0","0","0","0","1","0","0","325232033"
"50285","0","0","0","0","0","0","0","0","0","329184933"
"50286","6","6","0","0","0","0","0","0","0","333316912"
"50287","10","10","0","0","0","0","0","0","0","338356505"
"50288","0","0","0","0","0","0","0","0","0","338363605"
"50289","0","0","0","0","0","0","0","0","0","338379547"
"50290","0","0","0","0","0","0","0","0","0","338454692"
"50291","34","34","0","0","0","0","0","0","0","342551850"
"50292","0","0","0","0","0","0","0","0","0","346909128"
"50293","0","0","0","0","0","0","0","0","0","349418093"
"50294","0","0","0","0","0","0","0","0","0","350515508"
"50295","0","0","0","0","0","0","0","0","0","350984100"
"50296","1","1","0","0","0","0","0","0","0","351885532"
"50297","0","0","0","0","0","0","0","0","0","355830240"
"50298","0","0","0","0","0","0","0","0","0","355850993"
"50299","0","0","0","0","0","0","0","0","0","357096056"
"50300","0","0","0","0","0","0","0","0","0","357678358"
"50301","0","0","0","0","0","0","0","0","0","358068874"
"50302","0","0","0","0","0","0","0","0","0","363663711"
"50303","0","0","0","0","0","0","0","0","0","364717766"
"50304","0","0","0","0","0","0","0","0","0","368514039"
"50305","0","0","0","0","0","0","0","0","0","370239289"
"50306","0","0","0","0","0","0","0","0","0","371065355"
"50307","6","6","0","0","0","0","0","0","0","372505914"
"50308","0","0","0","0","0","0","0","0","0","390665260"
"50309","7","5","0","0","2","0","0","0","0","391035134"
"50310","0","0","0","0","0","0","0","0","0","426918297"
"50311","0","0","0","0","0","0","0","0","0","442691570"
"50312","0","0","0","0","0","0","0","0","0","869071369"
"50313","0","0","0","0","0","0","0","0","0","320618732"
"50314","0","0","0","0","0","0","0","0","0","254027970"
"50315","0","0","0","0","0","0","0","0","0","254586805"
"50316","0","0","0","0","0","0","0","0","0","254587297"
"50317","0","0","0","0","0","0","0","0","0","254609290"
"50318","0","0","0","0","0","0","0","0","0","320433318"
"50319","0","0","0","0","0","0","0","0","0","320454479"
"50320","0","0","0","0","0","0","0","0","0","320454894"
"50321","0","0","0","0","0","0","0","0","0","320541988"
"50322","0","0","0","0","0","0","0","0","0","321140784"
"50323","0","0","0","0","0","0","0","0","0","321335990"
"50324","0","0","0","0","0","0","0","0","0","321344541"
"50325","0","0","0","0","0","0","0","0","0","321419264"
"50326","0","0","0","0","0","0","0","0","0","412240387"
"50327","0","0","0","0","0","0","0","0","0","324717229"
"50328","0","0","0","0","0","0","0","0","0","324600360"
"50329","0","0","0","0","0","0","0","0","0","320292606"
"50330","0","0","0","0","0","0","0","0","0","320301530"
"50331","0","0","0","0","0","0","0","0","0","343676317"
"50332","4","4","0","0","0","0","0","0","0","320307858"
"50333","0","0","0","0","0","0","0","0","0","320484451"
"50334","0","0","0","0","0","0","0","0","0","321852783"
"50335","0","0","0","0","0","0","0","0","0","324209761"
"50336","0","0","0","0","0","0","0","0","0","324343574"
"50337","0","0","0","0","0","0","0","0","0","325098311"
"50338","0","0","0","0","0","0","0","0","0","325224065"
